/* DATA DESCRIPTION:
Citation:	Müller, Peter J (2004): Density and water content of sediment core GeoB6425-2. Department of Geosciences, Bremen University, PANGAEA, https://doi.org/10.1594/PANGAEA.138380
Project(s):	Center for Marine Environmental Sciences (MARUM) (URI: http://www.marum.de/en/)
	Geosciences, University of Bremen (GeoB) (URI: http://www.geo.uni-bremen.de/page.php?langid=EN)
Coverage:	LATITUDE: -33.825200 * LONGITUDE: -23.587300
	DATE/TIME START: 2000-03-02T08:02:00 * DATE/TIME END: 2000-03-02T08:02:00
	MINIMUM DEPTH, sediment/rock: 0.03 m * MAXIMUM DEPTH, sediment/rock: 10.68 m
Event(s):	GeoB6425-2 * LATITUDE: -33.825200 * LONGITUDE: -23.587300 * DATE/TIME: 2000-03-02T08:02:00 * ELEVATION: -4352.0 m * Recovery: 10.89 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: Gravity corer (Kiel type) (SL) * COMMENT: geology and geophysics, CTD at 50 m
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Water content, wet mass [%] (Water wm) * PI: Müller, Peter J * METHOD/DEVICE: Calculated from weight/volume
	Porosity [% vol] (Poros) * PI: Müller, Peter J * METHOD/DEVICE: Calculated from weight/volume
	Density, dry bulk [g/cm**3] (DBD) * PI: Müller, Peter J * METHOD/DEVICE: Calculated from weight/volume
	Density, wet bulk [g/cm**3] (WBD) * PI: Müller, Peter J * METHOD/DEVICE: Calculated from weight/volume
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	856 data points
*/
Depth [m]	Water wm [%]	Poros [% vol]	DBD [g/cm**3]	WBD [g/cm**3]
0.03	47.1	68.9	0.79	1.50
0.08	46.2	69.2	0.83	1.54
0.13	47.0	71.0	0.82	1.55
0.18	48.5	71.7	0.78	1.52
0.23	50.6	72.8	0.73	1.47
0.28	48.5	71.9	0.78	1.52
0.33	48.0	70.5	0.78	1.50
0.38	47.1	69.9	0.80	1.52
0.43	47.3	70.7	0.81	1.53
0.48	47.1	69.5	0.80	1.51
0.53	48.2	71.5	0.79	1.52
0.58	48.3	69.8	0.77	1.48
0.63	49.8	73.0	0.75	1.50
0.68	53.5	77.0	0.69	1.48
0.73	53.3	76.1	0.68	1.47
0.78	51.5	73.1	0.70	1.45
0.83	49.7	71.4	0.74	1.47
0.88	49.8	71.4	0.74	1.47
0.93	49.9	70.0	0.72	1.44
0.98	48.3	71.1	0.78	1.51
1.03	48.2	70.5	0.78	1.50
1.08	49.7	71.1	0.74	1.47
1.13	49.3	74.1	0.78	1.54
1.18	47.2	70.6	0.81	1.53
1.23	47.1	69.7	0.80	1.52
1.28	46.5	70.2	0.83	1.55
1.33	47.2	70.1	0.80	1.52
1.38	47.7	68.6	0.77	1.47
1.43	47.4	70.5	0.80	1.52
1.48	47.8	71.9	0.80	1.54
1.53	48.7	70.5	0.76	1.48
1.58	48.6	70.5	0.76	1.49
1.63	48.8	70.9	0.76	1.49
1.68	48.7	72.1	0.78	1.52
1.73	49.5	70.0	0.73	1.45
1.78	51.0	74.2	0.73	1.49
1.83	53.0	72.6	0.66	1.40
1.88	55.7	77.0	0.63	1.42
1.93	56.9	77.0	0.60	1.39
1.98	60.3	76.6	0.52	1.30
2.03	59.0	76.8	0.55	1.33
2.08	56.4	75.3	0.60	1.37
2.13	55.0	77.6	0.65	1.44
2.18	52.3	72.4	0.68	1.42
2.23	52.8	74.1	0.68	1.44
2.28	54.0	73.2	0.64	1.39
2.33	52.5	72.4	0.67	1.41
2.38	48.8	72.0	0.78	1.51
2.43	47.7	70.3	0.79	1.51
